,number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,params_num_layers,params_rnn_type,params_units,user_attrs_pruned,user_attrs_training_time,state
0,0,0.28574802534248683,2025-02-01 20:31:33.968890,2025-02-01 20:33:12.985529,0 days 00:01:39.016639,0.2,0.0007092142671020337,2,LSTM,96,,98.96115684509277,COMPLETE
1,1,0.2754789136424833,2025-02-01 20:33:12.985841,2025-02-01 20:35:22.682596,0 days 00:02:09.696755,0.2,0.002139601132248213,3,GRU,64,,129.64954376220703,COMPLETE
2,2,0.2596051667158281,2025-02-01 20:35:22.682871,2025-02-01 20:37:11.018622,0 days 00:01:48.335751,0.30000000000000004,0.0004636134654729029,1,GRU,32,,108.3080575466156,COMPLETE
3,3,,2025-02-01 20:37:11.018904,2025-02-01 20:39:27.240802,0 days 00:02:16.221898,0.1,0.007322840975154478,3,GRU,128,"Exception: OutOfMemoryError('CUDA out of memory. Tried to allocate 12.95 GiB. GPU 0 has a total capacity of 23.64 GiB of which 10.19 GiB is free. Process 2860528 has 13.41 GiB memory in use. Of the allocated memory 997.60 MiB is allocated by PyTorch, and 11.98 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",,PRUNED
4,4,0.29660270955514895,2025-02-01 20:39:27.240971,2025-02-01 20:43:03.352975,0 days 00:03:36.112004,0.4,0.005590541894367694,3,GRU,32,,216.07674384117126,COMPLETE
5,5,,2025-02-01 20:43:03.353244,2025-02-01 20:45:13.815992,0 days 00:02:10.462748,0.1,0.00013783198983666954,2,LSTM,128,"Exception: OutOfMemoryError('CUDA out of memory. Tried to allocate 16.99 GiB. GPU 0 has a total capacity of 23.64 GiB of which 10.19 GiB is free. Process 2860528 has 13.41 GiB memory in use. Of the allocated memory 1013.90 MiB is allocated by PyTorch, and 11.96 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",,PRUNED
6,6,0.38924716584721536,2025-02-01 20:45:13.816166,2025-02-01 20:46:48.473460,0 days 00:01:34.657294,0.0,0.005153291067630078,1,LSTM,64,,94.62631416320801,COMPLETE
7,7,,2025-02-01 20:46:48.473734,2025-02-01 20:48:07.557561,0 days 00:01:19.083827,0.1,0.003400484918896887,2,LSTM,128,"Exception: OutOfMemoryError('CUDA out of memory. Tried to allocate 16.99 GiB. GPU 0 has a total capacity of 23.64 GiB of which 10.19 GiB is free. Process 2860528 has 13.41 GiB memory in use. Of the allocated memory 1013.90 MiB is allocated by PyTorch, and 11.96 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",,PRUNED
8,8,0.26240545286540046,2025-02-01 20:48:07.557724,2025-02-01 20:49:40.026483,0 days 00:01:32.468759,0.4,0.00024202219502300788,1,GRU,32,,92.43185806274414,COMPLETE
9,9,0.2699703124051553,2025-02-01 20:49:40.026735,2025-02-01 20:51:23.648102,0 days 00:01:43.621367,0.0,0.00045463863011711446,2,GRU,32,,103.58054947853088,COMPLETE
