,number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,params_num_layers,params_rnn_type,params_units,user_attrs_pruned,user_attrs_training_time,state
0,0,0.5413497561635076,2025-02-02 12:25:46.795786,2025-02-02 12:28:13.268228,0 days 00:02:26.472442,0.0,0.004113732123335245,3,GRU,64,,146.42187786102295,COMPLETE
1,1,0.18953730081971307,2025-02-02 12:28:13.268527,2025-02-02 12:33:58.842020,0 days 00:05:45.573493,0.1,0.001207361312622674,2,GRU,128,,345.50741267204285,COMPLETE
2,2,,2025-02-02 12:33:58.842299,2025-02-02 12:36:17.190720,0 days 00:02:18.348421,0.5,0.0002957304062773547,1,LSTM,128,"Exception: OutOfMemoryError('CUDA out of memory. Tried to allocate 16.93 GiB. GPU 0 has a total capacity of 23.64 GiB of which 16.46 GiB is free. Process 2920697 has 7.14 GiB memory in use. Of the allocated memory 978.75 MiB is allocated by PyTorch, and 5.73 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)')",,PRUNED
3,3,0.2691909848469445,2025-02-02 12:36:17.190995,2025-02-02 12:39:55.482616,0 days 00:03:38.291621,0.30000000000000004,0.00040242956830502716,1,GRU,96,,218.25217199325562,COMPLETE
4,4,0.6270076901804836,2025-02-02 12:39:55.482887,2025-02-02 12:41:53.928581,0 days 00:01:58.445694,0.30000000000000004,0.008744968696604712,1,LSTM,96,,118.20935559272766,COMPLETE
5,5,0.17535658221396236,2025-02-02 12:41:53.929007,2025-02-02 12:47:03.698571,0 days 00:05:09.769564,0.4,0.0016623908736798753,3,LSTM,96,,309.4494025707245,COMPLETE
6,6,0.49219989663536273,2025-02-02 12:47:03.698951,2025-02-02 12:48:46.968967,0 days 00:01:43.270016,0.30000000000000004,0.007766574268746579,1,GRU,96,,103.23130178451538,COMPLETE
7,7,0.19558469699801342,2025-02-02 12:48:46.969252,2025-02-02 12:55:09.732300,0 days 00:06:22.763048,0.4,0.0020302845994808506,3,LSTM,96,,382.6990077495575,COMPLETE
8,8,0.2351559512387101,2025-02-02 12:55:09.732553,2025-02-02 13:08:04.034666,0 days 00:12:54.302113,0.2,0.00010052741272160985,3,LSTM,96,,774.2293946743011,COMPLETE
9,9,0.25195865243639154,2025-02-02 13:08:04.034926,2025-02-02 13:14:43.957738,0 days 00:06:39.922812,0.5,0.0002849014522196649,3,LSTM,64,,399.87042117118835,COMPLETE
10,10,0.24269993921009203,2025-02-02 13:14:43.957997,2025-02-02 13:19:49.287832,0 days 00:05:05.329835,0.30000000000000004,0.005111631011502419,3,LSTM,32,,305.2891445159912,COMPLETE
11,11,0.22284538238153093,2025-02-02 13:19:49.288092,2025-02-02 13:26:13.264893,0 days 00:06:23.976801,0.0,0.0003333462523723488,1,GRU,128,,383.6594498157501,COMPLETE
12,12,0.19866309737106339,2025-02-02 13:26:13.265305,2025-02-02 13:31:38.055208,0 days 00:05:24.789903,0.2,0.0007589368301870669,2,GRU,128,,324.46118116378784,COMPLETE
13,13,0.29377745100549074,2025-02-02 13:31:38.055560,2025-02-02 13:33:42.111775,0 days 00:02:04.056215,0.0,0.003187425812054994,2,GRU,128,,123.9820282459259,COMPLETE
